player,team,age,position,contract_status,cap_hit,signing_year,expiry_status
Steven Stamkos,TBL,34,"LW, C",Right,79,40,41
Sam Reinhart,FLA,28,RW,Right,82,57,37
Matt Murray,TOR,30,G,Left,0,-,-
Jake Guentzel,CAR,29,"LW, RW",Left,67,30,47
Adam Henrique,EDM,34,"LW, C",Left,82,24,27
Anthony Mantha,VGK,29,"LW, RW",Left,74,23,21
Tyler Bertuzzi,TOR,29,"LW, RW",Left,80,21,22
Teuvo Teräväinen,CAR,29,"LW, RW",Left,76,25,28
Jason Zucker,NSH,32,"LW, RW",Left,69,14,18
Alec Martinez,VGK,36,LD,Left,55,4,13
Brady Skjei,CAR,30,LD,Left,80,13,34
Jakub Vrána,STL,28,LW,Left,21,2,4
Tyler Johnson,CHI,33,"RW, C, LW",Right,67,17,14
Vladimir Tarasenko,FLA,32,RW,Left,76,23,32
Jonathan Marchessault,VGK,33,"RW, LW",Right,82,42,27
TJ Brodie,TOR,34,LD/RD,Left,78,1,25
Elias Lindholm,VAN,29,"C, RW",Right,75,15,29
David Perron,DET,36,"RW, LW",Right,76,17,30
Victor Olofsson,BUF,28,"RW, LW",Left,51,7,8
Kevin Labanc,SJS,28,"RW, LW",Right,46,2,7
Tyson Barrie,NSH,32,RD,Right,41,1,14
Alexander Wennberg,NYR,29,C,Left,79,10,20
Nikita Zaitsev,CHI,32,RD,Right,38,2,5
Mike Hoffman,SJS,34,LW,Left,66,10,13
Christopher Tanev,DAL,34,RD,Right,75,2,17
Tyler Toffoli,WPG,32,"RW, LW",Right,79,33,22
Viktor Arvidsson,LAK,31,"RW, LW",Right,18,6,9
Anthony Beauvillier,NSH,27,"RW, LW",Left,60,5,12
John Klingberg,TOR,31,RD,Right,14,0,5
Shayne Gostisbehere,DET,31,LD/RD,Left,81,10,46
Brett Pesce,CAR,29,RD,Right,70,3,10
Jake DeBrusk,BOS,27,"RW, LW",Left,80,19,21
Jack Roslovic,NYR,27,"C, RW",Right,59,9,22
Carter Hart,PHI,25,G,Left,26,-,-
Brenden Dillon,WPG,33,LD,Left,77,8,12
Matt Dumba,TBL,29,RD,Right,76,4,8
Nikita Zadorov,VAN,29,LD/RD,Left,75,6,14
Matt Grzelcyk,BOS,30,LD,Left,63,2,9
Ilya Samsonov,TOR,27,G,Left,40,-,-
Brandon Montour,FLA,30,RD,Right,66,8,25
Chris Driedger,SEA,30,G,Left,2,-,-
Joe Pavelski,DAL,39,RW,Right,82,27,40
Joel Edmundson,TOR,31,LD/RD,Left,53,1,5
Jeremy Swayman,BOS,25,G,Left,44,-,-
Marco Scandella,STL,34,LD,Left,65,2,6
Erik Johnson,PHI,36,RD,Right,67,5,1
Tanner Pearson,MTL,31,LW,Left,54,5,8
Kasperi Kapanen,STL,27,RW,Right,73,6,16
Matt Roy,LAK,29,RD,Right,81,5,20
Derek Forbort,BOS,32,LD,Left,35,0,4
Matt Duchene,DAL,33,"RW, C",Left,80,25,40
Ryan Lindgren,NYR,26,LD,Left,76,3,14
Ian Cole,VAN,35,LD/RD,Left,78,2,9
Anthony Duclair,TBL,28,"LW, RW",Left,73,24,18
Max Domi,TOR,29,"C, RW",Left,80,9,38
Martin Necas,CAR,25,RW,Right,77,24,29
Justin Schultz,SEA,33,RD,Right,70,7,19
Kaapo Kähkönen,NJD,27,G,Left,37,-,-
Luke Kunin,SJS,26,"RW, C",Right,77,11,7
Chandler Stephenson,VGK,30,"C, LW",Left,75,16,35
Ilya Lyubushkin,TOR,30,RD,Right,74,0,8
Warren Foegele,EDM,28,"LW, RW",Left,82,20,21
Patrick Kane,DET,35,RW,Left,50,20,27
Sean Walker,COL,29,LD/RD,Right,81,10,19
Alexander Barabanov,SJS,30,"RW, LW",Left,46,4,9
Zemgus Girgensons,BUF,30,"LW, C",Left,63,8,6
Oliver Kylington,CGY,27,LD/RD,Left,33,3,5
Henri Jokiharju,BUF,25,RD,Right,74,3,17
Dominik Kubalik,OTT,28,"LW, RW",Left,74,11,4
Alexandre Carrier,NSH,27,RD,Right,73,4,16
Kyle Okposo,FLA,36,RW,Right,67,12,10
Jake Bean,CBJ,26,LD/RD,Left,72,4,9
Dillon Dubé,CGY,25,"LW, RW, C",Left,43,3,4
Oliver Ekman-Larsson,FLA,32,LD,Left,80,9,23
Max Pacioretty,WSH,35,LW,Left,47,4,19
Tyson Jost,BUF,26,C,Left,43,3,3
Erik Brännström,OTT,24,"LD/RD, LW",Left,76,3,17
Kevin Lankinen,NSH,29,G,Left,24,-,-
Alex Goligoski,MIN,38,LD/RD,Left,36,0,10
Daniel Sprong,DET,27,"RW, LW",Right,76,18,25
Sean Monahan,WPG,29,"C, LW, RW",Left,83,26,33
Colin Miller,WPG,31,RD,Right,46,4,5
Jacob Bryson,BUF,26,LD/RD,Left,36,1,7
Eric Comrie,BUF,28,G,Left,10,-,-
Isac Lundeström,ANA,24,"C, LW",Left,46,5,6
Casey DeSmith,VAN,32,G,Left,29,-,-
Jordan Martinook,CAR,31,"LW, RW",Left,82,14,18
Barrett Hayton,UTA,24,"C, LW",Left,33,3,7
Laurent Brossoit,WPG,31,G,Left,23,-,-
Cal Clutterbuck,NYI,36,RW,Right,82,7,12
Travis Boyd,UTA,30,"C, RW",Right,16,2,6
Sean Durzi,UTA,25,LD/RD,Right,76,9,32
Yakov Trenin,COL,27,"LW, C",Left,76,12,5
Anthony Deangelo,CAR,28,RD,Right,31,3,8
Blake Lizotte,LAK,26,C,Left,62,7,8
Eric Robinson,BUF,29,LW,Left,47,3,7
Alexandre Texier,CBJ,24,"LW, C, RW",Left,78,12,18
Antti Raanta,CAR,35,G,Left,24,-,-
Tomas Tatar,SEA,33,"LW, RW",Left,70,9,15
Pheonix Copley,LAK,32,G,Left,8,-,-
James Reimer,DET,36,G,Left,25,-,-
Jani Hakanpää,DAL,32,RD,Right,64,2,10
Matt Martin,NYI,35,"LW, RW",Left,57,4,4
Kailer Yamamoto,SEA,25,RW,Right,59,8,8
Eeli Tolvanen,SEA,25,"LW, RW",Left,81,16,25
William Carrier,VGK,29,LW,Left,39,6,2
Timothy Liljegren,TOR,25,RD,Right,55,3,20
Philippe Myers,TBL,27,RD,Right,5,0,0
Michael McLeod,NJD,26,C,Right,45,10,9
Riley Stillman,BUF,26,LD,Left,0,0,0
Carl Grundström,SJS,26,"LW, RW",Left,50,8,4
Max Jones,ANA,26,"LW, RW",Left,52,5,10
Joshua Brown,UTA,30,RD,Right,51,3,7
