player_name,2024-25,2025-26,2026-27,2027-28,team
"Strome, Ryan",5000000.0,5000000.0,5000000.0,,Anaheim Ducks
"Killorn, Alex",6250000.0,6250000.0,6250000.0,,Anaheim Ducks
"McGinn, Brock",2750000.0,,,,Anaheim Ducks
"Johnston, Ross",1100000.0,1100000.0,,,Anaheim Ducks
"Fabbri, Robby",4000000.0,,,,Anaheim Ducks
"Vatrano, Frank",3650000.0,,,,Anaheim Ducks
"Harkins, Jansen",787500.0,787500.0,,,Anaheim Ducks
"Terry, Troy",7000000.0,7000000.0,7000000.0,7000000.0,Anaheim Ducks
"Lundestrom, Isac",1500000.0,,,,Anaheim Ducks
"Zegras, Trevor",5750000.0,5750000.0,,,Anaheim Ducks
"Leason, Brett",1050000.0,,,,Anaheim Ducks
"McTavish, Mason",894167.0,,,,Anaheim Ducks
"Gauthier, Cutter",950000.0,950000.0,,,Anaheim Ducks
"Carlsson, Leo",950000.0,950000.0,,,Anaheim Ducks
Totals,41631667.0,27787500.0,18250000.0,7000000.0,Anaheim Ducks
"Backlund, Mikael",4500000.0,4500000.0,,,Calgary Flames
"Kadri, Nazem",7000000.0,7000000.0,7000000.0,7000000.0,Calgary Flames
"Huberdeau, Jonathan",10500000.0,10500000.0,10500000.0,10500000.0,Calgary Flames
"Coleman, Blake",4900000.0,4900000.0,4900000.0,,Calgary Flames
"Mantha, Anthony",3500000.0,,,,Calgary Flames
"Lomberg, Ryan",2000000.0,2000000.0,,,Calgary Flames
"Hunt, Dryden",775000.0,,,,Calgary Flames
"Rooney, Kevin",1300000.0,,,,Calgary Flames
"Pospisil, Martin",1000000.0,1000000.0,,,Calgary Flames
"Sharangovich, Yegor",3100000.0,5750000.0,5750000.0,5750000.0,Calgary Flames
"Zary, Connor",863334.0,,,,Calgary Flames
"Duehr, Walker",825000.0,,,,Calgary Flames
"Coronato, Matt",925000.0,,,,Calgary Flames
"Klapka, Adam",,,,,Calgary Flames
"Kuzmenko, Andrei",5500000.0,,,,Calgary Flames
Totals,46688334.0,35650000.0,28150000.0,23250000.0,Calgary Flames
"Perry, Corey",1150000.0,,,,Edmonton Oilers
"Gagner, Sam",,,,,Edmonton Oilers
"Henrique, Adam",3000000.0,3000000.0,,,Edmonton Oilers
"Kane, Evander",5125000.0,5125000.0,,,Edmonton Oilers
"Skinner, Jeff",3000000.0,,,,Edmonton Oilers
"Hyman, Zach",5500000.0,5500000.0,5500000.0,5500000.0,Edmonton Oilers
"Nugent-Hopkins, Ryan",5125000.0,5125000.0,5125000.0,5125000.0,Edmonton Oilers
"Brown, Connor",1000000.0,,,,Edmonton Oilers
"Erne, Adam",,,,,Edmonton Oilers
"Janmark, Mattias",1450000.0,1450000.0,1450000.0,,Edmonton Oilers
"Draisaitl, Leon",8500000.0,,,,Edmonton Oilers
