Team,"Player Name",Years Remaining,Terms,POS,Status,Acquired,Age,Cap%,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30
anaheim_ducks,"Terry, Troy",6 UFA,,RW,NHL,Draft,26,,"$7,000,000$7,000,000$7,000,000$7,000,000$0$0","$7,000,000$7,000,000$7,000,000$7,000,000$0$0$0","$7,000,000$7,000,000$7,000,000$7,000,000$0$0$0","$7,000,000$7,000,000$7,000,000$7,000,000$0$0$0","$7,000,000$7,000,000$7,000,000$7,000,000$0$0$0","$7,000,000$7,000,000$7,000,000$7,000,000$0$0$0UFA at the end of 2029-30"
anaheim_ducks,"Killorn, Alex",3 UFA,NTC,"RW, LW",NHL,Signed,34,,"$6,250,000$6,250,000$6,250,000$6,250,000$0$0$0","$6,250,000$6,250,000$6,250,000$6,250,000$0$0$0","$6,250,000$6,250,000$6,250,000$6,250,000$0$0$0",UFA,,
anaheim_ducks,"Zegras, Trevor",2 RFA,,"C, LW",NHL,Draft,23,,"$5,750,000$5,750,000$5,750,000$5,750,000$0$0","$5,750,000$5,750,000$5,750,000$5,750,000$0$0",RFA,,,
anaheim_ducks,"Strome, Ryan",3 UFA,,"RW, C",NHL,Signed,31,,"$5,000,000$5,000,000$5,000,000$5,000,000$0$0","$5,000,000$5,000,000$5,000,000$5,000,000$0$0","$5,000,000$5,000,000$5,000,000$5,000,000$0$0",UFA,,
anaheim_ducks,"Fabbri, Robby",1 UFA,,LW,NHL,Trade,28,,"$4,000,000$4,000,000$4,250,000$4,250,000$0$0",UFA,,,,
anaheim_ducks,"Vatrano, Frank",1 UFA,,"LW, RW",NHL,Signed,30,,"$3,650,000$3,650,000$3,650,000$3,650,000$0$0",UFA,,,,
anaheim_ducks,"Lundestrom, Isac",1 RFA,,"C, LW",NHL,Draft,24,,"$1,500,000$1,500,000$1,500,000$1,500,000$0$0",RFA,,,,
anaheim_ducks,"Johnston, Ross",2 UFA,,LW,NHL,Waivers claim,30,,"$1,100,000$1,100,000$1,100,000$1,100,000$0$0","$1,100,000$1,100,000$1,100,000$1,100,000$0$0",UFA,,,
anaheim_ducks,"Leason, Brett",1 UFA,,RW,NHL,Signed,25,,"$1,050,000$1,050,000$1,050,000$1,050,000$0$0",UFA,,,,
anaheim_ducks,"Carlsson, Leo",2 RFA,ELC,C,NHL,Draft,19,,"$950,000$4,200,000$950,000$855,000$95,000$3,250,000","$950,000$4,200,000$950,000$855,000$95,000$3,250,000",RFA,,,
anaheim_ducks,"Gauthier, Cutter",2 10.2(c),ELC,"LW, C",NHL,Trade,20,,"$950,000$1,900,000$950,000$855,000$95,000$950,000","$950,000$1,900,000$950,000$855,000$95,000$1,900,000",10.2(c),,,
anaheim_ducks,"Colangelo, Sam",1 10.2(c),ELC,RW,NHL,Draft,22,,"$925,000$1,300,000$925,000$832,500$92,500$750,000",10.2(c),,,,
anaheim_ducks,"McTavish, Mason",1 RFA,ELC,"C, LW",NHL,Draft,21,,"$894,167$3,394,167$832,500$832,500$0$2,500,000",RFA,,,,
anaheim_ducks,"Harkins, Jansen",2 UFA,,LW,NHL,Signed,27,,"$775,000$775,000$775,000$775,000$0$0","$800,000$800,000$800,000$800,000$0$0",UFA,,,
anaheim_ducks,"Meyer, Carson",1 UFA,,RW,NHL,Signed,26,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
anaheim_ducks,"Fowler, Cam",2 UFA,M-NTC,LD/RD,NHL,Draft,32,,"$6,500,000$6,500,000$7,500,000$7,500,000$0$0$0","$6,500,000$6,500,000$6,250,000$6,250,000$0$0$0",UFA,,,
anaheim_ducks,"Gudas, Radko",2 UFA,M-NTC,RD,NHL,Signed,34,,"$4,000,000$4,000,000$4,000,000$4,000,000$0$0$0","$4,000,000$4,000,000$4,000,000$4,000,000$0$0$0",UFA,,,
anaheim_ducks,"Dumoulin, Brian",1 UFA,M-NTC,LD,NHL,Trade,32,,"$3,150,000$3,150,000$3,000,000$3,000,000$0$0$0",UFA,,,,
anaheim_ducks,"Vaakanainen, Urho",1 UFA,,LD/RD,NHL,Signed,25,,"$1,100,000$1,100,000$1,100,000$1,100,000$0$0",UFA,,,,
anaheim_ducks,"LaCombe, Jackson",2 RFA,,LD/RD,NHL,Draft,23,,"$925,000$925,000$925,000$925,000$0$0","$925,000$925,000$925,000$925,000$0$0",RFA,,,
anaheim_ducks,"Mintyukov, Pavel",2 RFA,ELC,LD,NHL,Draft,20,,"$918,333$1,701,667$950,000$855,000$95,000$800,000","$918,333$1,701,667$855,000$855,000$0$1,000,000",RFA,,,
anaheim_ducks,"Zellweger, Olen",2 RFA,ELC,LD,NHL,Draft,20,,"$844,167$871,667$832,500$832,500$0$0","$844,167$871,667$832,500$832,500$0$0",RFA,,,
anaheim_ducks,"Gibson, John",3 UFA,M-NTC,G,NHL,Draft,31,,"$6,400,000$6,400,000$6,400,000$6,400,000$0$0$0","$6,400,000$6,400,000$6,400,000$6,400,000$0$0$0","$6,400,000$6,400,000$6,400,000$6,400,000$0$0$0",UFA,,
anaheim_ducks,"Dostal, Lukas",1 RFA,,G,NHL,Draft,24,,"$812,500$812,500$850,000$850,000$0$0",RFA,,,,
anaheim_ducks,"McGinn, Brock",1 UFA,,"LW, RW",IR,Trade,30,,"$2,750,000$2,750,000$2,750,000$2,750,000$0$0",UFA,,,,
anaheim_ducks,"Despres, Simon",1 UFA,,,,,32,,,UFA,,,,
anaheim_ducks,"Sennecke, Beckett",3 RFA,ELC,RW,Minor,Draft,18,,"$975,000$975,000$975,000$975,000$0$0","$975,000$975,000$975,000$975,000$0$0","$975,000$975,000$975,000$975,000$0$0",RFA,,
anaheim_ducks,"Myatovic, Nico",3 RFA,ELC,LW,Minor,Draft,19,,"$896,667$950,000$870,000$775,000$95,000$80,000","$896,667$950,000$870,000$775,000$95,000$80,000","$896,667$950,000$950,000$855,000$95,000$0",RFA,,
anaheim_ducks,"Gaucher, Nathan",3 RFA,ELC,C,Minor,Draft,20,,"$886,667$1,129,167$950,000$855,000$95,000$77,500","$886,667$1,129,167$855,000$855,000$0$300,000","$886,667$1,129,167$855,000$855,000$0$350,000",RFA,,
anaheim_ducks,"Lopina, Josh",1 RFA,ELC,C,Minor,Draft,23,,"$878,333$925,000$925,000$832,500$92,500$0",RFA,,,,
anaheim_ducks,"Nesterenko, Nikita",1 RFA,,C,Minor,Trade,22,,"$874,125$874,125$874,125$874,125$0$0",RFA,,,,
anaheim_ducks,"Sidorov, Yegor",3 RFA,ELC,"RW, LW",Minor,Draft,20,,"$865,000$900,000$865,000$775,000$90,000$35,000","$865,000$900,000$865,000$775,000$90,000$35,000","$865,000$900,000$865,000$775,000$90,000$35,000",RFA,,
anaheim_ducks,"Pitre, Coulson",3 RFA,ELC,RW,Minor,Draft,19,,"$860,000$860,000$860,000$775,000$85,000$0","$860,000$860,000$860,000$775,000$85,000$0","$860,000$860,000$860,000$775,000$85,000$0",RFA,,
anaheim_ducks,"Wiebe, Jaxsen",2 RFA,ELC,"RW, C",Minor,Signed,22,,"$852,500$852,500$852,500$775,000$77,500$0","$852,500$852,500$850,000$775,000$75,000$0",RFA,,,
anaheim_ducks,"Caulfield, Judd",1 RFA,ELC,RW,Minor,Trade,23,,"$837,500$837,500$837,500$775,000$62,500$0",RFA,,,,
anaheim_ducks,"Mysak, Jan",1 RFA,ELC,"C, LW",Minor,Trade,22,,"$828,333$902,500$775,000$775,000$0$57,500",RFA,,,,
anaheim_ducks,"Pastujov, Sasha",2 RFA,ELC,"LW, RW",Minor,Draft,21,,"$825,000$880,000$775,000$775,000$0$82,500","$825,000$880,000$832,500$832,500$0$0",RFA,,,
anaheim_ducks,"Regenda, Pavol",1 UFA,,"LW, RW",Minor,Signed,24,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
anaheim_ducks,"Solberg, Stian",3 RFA,ELC,LD,Minor,Draft,18,,"$975,000$975,000$975,000$975,000$0$0","$975,000$975,000$975,000$975,000$0$0","$975,000$975,000$975,000$975,000$0$0",RFA,,
anaheim_ducks,"Dionicio, Rodwin",3 RFA,ELC,LD,Minor,Draft,20,,"$950,000$950,000$950,000$855,000$95,000$0","$950,000$950,000$950,000$855,000$95,000$0","$950,000$950,000$950,000$855,000$95,000$0",RFA,,
anaheim_ducks,"Helleson, Drew",1 RFA,ELC,RD,Minor,Trade,23,,"$925,000$925,000$925,000$832,500$92,500$0",RFA,,,,
anaheim_ducks,"Luneau, Tristan",3 RFA,ELC,RD,Loan,Draft,20,,"$865,000$918,333$870,000$775,000$95,000$80,000","$865,000$918,333$870,000$775,000$95,000$80,000","$865,000$918,333$855,000$855,000$0$0",RFA,,
anaheim_ducks,"Warren, Noah",3 RFA,ELC,RD,Junior,Draft,20,,"$865,000$918,333$870,000$775,000$95,000$80,000","$865,000$918,333$870,000$775,000$95,000$80,000","$865,000$918,333$855,000$855,000$0$0",RFA,,
anaheim_ducks,"Hinds, Tyson",2 RFA,ELC,LD,Minor,Draft,21,,"$829,444$829,444$855,000$775,000$80,000$0","$829,444$829,444$775,000$775,000$0$0",RFA,,,
anaheim_ducks,"Clang, Calle",1 RFA,ELC,G,Minor,Trade,22,,"$878,333$925,000$925,000$832,500$92,500$0",RFA,,,,
anaheim_ducks,"Clara, Damian",3 RFA,ELC,G,Minor,Draft,19,,"$878,333$950,000$870,000$775,000$95,000$80,000","$878,333$950,000$870,000$775,000$95,000$80,000","$878,333$950,000$895,000$800,000$95,000$55,000",RFA,,
anaheim_ducks,"Suchanek, Tomas",3 RFA,ELC,G,Minor,Signed,21,,"$870,000$950,000$870,000$775,000$95,000$80,000","$870,000$950,000$870,000$775,000$95,000$80,000","$870,000$950,000$870,000$775,000$95,000$80,000",RFA,,
anaheim_ducks,"Buteyets, Vyacheslav",2 RFA,ELC,G,Minor,Draft,22,,"$852,500$852,500$852,500$775,000$77,500$0","$852,500$852,500$852,500$775,000$77,500$0",RFA,,,
utah_hockey_club,"Keller, Clayton",4 UFA,NTC,"LW, RW",NHL,Draft,25,,"$7,150,000$7,150,000$7,000,000$7,000,000$0$0$0","$7,150,000$7,150,000$7,000,000$7,000,000$0$0$0","$7,150,000$7,150,000$8,500,000$6,500,000$2,000,000$0$0","$7,150,000$7,150,000$8,700,000$6,700,000$2,000,000$0$0",UFA,
utah_hockey_club,"Schmaltz, Nick",2 UFA,M-NTC,"RW, C",NHL,Trade,28,,"$5,850,000$5,850,000$8,450,000$6,950,000$1,500,000$0$0","$5,850,000$5,850,000$8,500,000$8,500,000$0$0$0",UFA,,,
utah_hockey_club,"Crouse, Lawson",3 UFA,,"LW, RW",NHL,Trade,27,,"$4,300,000$4,300,000$4,600,000$4,600,000$0$0","$4,300,000$4,300,000$4,800,000$4,800,000$0$0","$4,300,000$4,300,000$3,900,000$3,900,000$0$0",UFA,,
utah_hockey_club,"Kerfoot, Alex",1 UFA,M-NTC,"LW, C, RW",NHL,Signed,29,,"$3,500,000$3,500,000$4,000,000$4,000,000$0$0$0",UFA,,,,
utah_hockey_club,"Maccelli, Matias",2 RFA,,LW,NHL,Draft,23,,"$3,425,000$3,425,000$3,025,000$3,025,000$0$0","$3,425,000$3,425,000$4,250,000$4,250,000$0$0",RFA,,,
utah_hockey_club,"Hayton, Barrett",2 RFA,,"C, LW",NHL,Draft,24,,"$2,650,000$2,650,000$2,650,000$2,650,000$0$0","$2,650,000$2,650,000$2,650,000$2,650,000$0$0",RFA,,,
utah_hockey_club,"Bjugstad, Nick",1 UFA,,"C, RW",NHL,Signed,32,,"$2,100,000$2,100,000$2,100,000$2,100,000$0$0",UFA,,,,
utah_hockey_club,"Stenlund, Kevin",2 UFA,,"C, RW",NHL,Signed,27,,"$2,000,000$2,000,000$2,000,000$2,000,000$0$0","$2,000,000$2,000,000$2,000,000$2,000,000$0$0",UFA,,,
utah_hockey_club,"McBain, Jack",1 RFA,,"C, LW",NHL,Signed,24,,"$1,599,999$1,599,999$1,599,999$1,599,999$0$0",RFA,,,,
utah_hockey_club,"O'Brien, Liam",3 UFA,,"LW, RW",NHL,Signed,29,,"$1,000,000$1,000,000$1,000,000$1,000,000$0$0","$1,000,000$1,000,000$1,000,000$1,000,000$0$0","$1,000,000$1,000,000$1,000,000$1,000,000$0$0",UFA,,
utah_hockey_club,"Cooley, Logan",2 RFA,ELC,C,NHL,Draft,20,,"$950,000$4,450,000$950,000$855,000$95,000$3,500,000","$950,000$4,450,000$950,000$855,000$95,000$3,500,000",RFA,,,
utah_hockey_club,"Carcone, Michael",1 UFA,,"LW, RW",NHL,Signed,28,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
utah_hockey_club,"Sergachev, Mikhail",7 UFA,NTC,LD/RD,NHL,Trade,26,,"$8,500,000$8,500,000$11,050,000$5,050,000$6,000,000$0$0","$8,500,000$8,500,000$11,050,000$6,050,000$5,000,000$0$0","$8,500,000$8,500,000$8,300,000$7,300,000$1,000,000$0$0","$8,500,000$8,500,000$6,637,500$5,637,500$1,000,000$0$0","$8,500,000$8,500,000$6,637,500$5,637,500$1,000,000$0$0","$8,500,000$8,500,000$6,637,500$5,637,500$1,000,000$0$0UFA at the end of 2030-31"
utah_hockey_club,"Durzi, Sean",4 UFA,,LD/RD,NHL,Trade,25,,"$6,000,000$6,000,000$7,100,000$7,100,000$0$0","$6,000,000$6,000,000$5,600,000$5,600,000$0$0","$6,000,000$6,000,000$4,800,000$4,800,000$0$0$0","$6,000,000$6,000,000$6,500,000$6,500,000$0$0$0",UFA,
utah_hockey_club,"Marino, John",3 UFA,M-NTC,RD,NHL,Trade,27,,"$4,400,000$4,400,000$6,150,000$6,150,000$0$0$0","$4,400,000$4,400,000$5,300,000$5,300,000$0$0$0","$4,400,000$4,400,000$4,450,000$4,450,000$0$0$0",UFA,,
utah_hockey_club,"Cole, Ian",1 UFA,35+,LD/RD,NHL,Signed,35,,"$3,100,000$3,100,000$3,100,000$3,100,000$0$0",UFA,,,,
utah_hockey_club,"Valimaki, Juuso",2 UFA,,LD,NHL,Waivers claim,25,,"$2,000,000$2,000,000$2,000,000$2,000,000$0$0","$2,000,000$2,000,000$2,000,000$2,000,000$0$0",UFA,,,
utah_hockey_club,"Kesselring, Michael",2 RFA,,RD,NHL,Trade,24,,"$1,400,000$1,400,000$1,400,000$1,400,000$0$0","$1,400,000$1,400,000$1,400,000$1,400,000$0$0",RFA,,,
utah_hockey_club,"Vejmelka, Karel",1 UFA,,G,NHL,Signed,28,,"$2,725,000$2,725,000$2,775,000$2,775,000$0$0",UFA,,,,
utah_hockey_club,"Ingram, Connor",2 UFA,,G,NHL,Waivers claim,27,,"$1,950,000$1,950,000$1,950,000$1,950,000$0$0","$1,950,000$1,950,000$2,150,000$2,150,000$0$0",UFA,,,
utah_hockey_club,"Weber, Shea",2 UFA,,RD,LTIR Candidate,Trade,38,,"$7,857,143$7,857,143$1,000,000$1,000,000$0$0","$7,857,143$7,857,143$1,000,000$1,000,000$0$0",UFA,,,
utah_hockey_club,"Ekman-Larsson, Oliver",7 UFA,,LD,NHL,Signed,33,,"$320,000$320,000$310,303$310,303$0$0$0","$650,000$650,000$413,636$413,636$0$0$0","$650,000$650,000$413,636$413,636$0$0$0","$290,000","$290,000","$290,000UFA at the end of 2030-31"
utah_hockey_club,"Nemeth, Patrik",1 UFA,,,,,32,,"$1,166,667$0$0$0$0$0",UFA,,,,
utah_hockey_club,"Kassian, Zack",1 UFA,,,,,33,,"$766,667",UFA,,,,
utah_hockey_club,"Iginla, Tij",3 RFA,ELC,C,Minor,Draft,17,,"$975,000$1,975,000$975,000$877,500$97,500$1,000,000","$975,000$1,975,000$975,000$877,500$97,500$1,000,000","$975,000$1,975,000$975,000$877,500$97,500$1,000,000",RFA,,
utah_hockey_club,"Matikka, Miko",3 RFA,ELC,RW,Minor,Draft,20,,"$950,000$950,000$950,000$855,000$95,000$0","$950,000$950,000$950,000$855,000$95,000$0","$950,000$950,000$950,000$855,000$95,000$0",RFA,,
utah_hockey_club,"Doan, Josh",2 RFA,ELC,RW,Minor,Draft,22,,"$925,000$925,000$925,000$832,500$92,500$0","$925,000$925,000$925,000$832,500$92,500$0",RFA,,,
utah_hockey_club,"Lutz, Julian",3 RFA,ELC,LW,Minor,Draft,20,,"$923,333$950,000$870,000$775,000$95,000$80,000","$923,333$950,000$950,000$855,000$95,000$0","$923,333$950,000$950,000$855,000$95,000$0",RFA,,
utah_hockey_club,"Raty, Aku",1 RFA,ELC,C,Minor,Draft,23,,"$896,250$925,000$925,000$832,500$92,500$0",RFA,,,,
utah_hockey_club,"Guenther, Dylan",1 RFA,ELC,"RW, LW",Minor,Draft,21,,"$894,167$1,744,167$832,500$832,500$0$850,000",RFA,,,,
utah_hockey_club,"Nordh, Noel",3 RFA,ELC,"RW, LW",Minor,Draft,19,,"$865,000$900,000$865,000$775,000$90,000$35,000","$865,000$900,000$865,000$775,000$90,000$35,000","$865,000$900,000$865,000$775,000$90,000$35,000",RFA,,
utah_hockey_club,"Lipkin, Sam",3 RFA,ELC,LW,Minor,Draft,21,,"$851,667$851,667$850,000$775,000$75,000$0","$851,667$851,667$850,000$775,000$75,000$0","$851,667$851,667$855,000$775,000$80,000$0",RFA,,
utah_hockey_club,"McCartney, Ben",1 RFA,,LW,Minor,Draft,23,,"$775,000$775,000$775,000$775,000$0$0",RFA,,,,
utah_hockey_club,"Douglas, Curtis",2 UFA,,C,Minor,Trade,24,,"$775,000$775,000$775,000$775,000$0$0","$775,000$775,000$775,000$775,000$0$0",UFA,,,
utah_hockey_club,"Kelemen, Milos",1 UFA,,RW,Minor,Signed,25,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
utah_hockey_club,"Sokolov, Egor",1 RFA,,LW,Minor,Trade,24,,"$775,000$775,000$775,000$775,000$0$0",RFA,,,,
utah_hockey_club,"Agozzino, Andrew",2 UFA,,"C, LW",NHL,Signed,33,,"$775,000$775,000$775,000$775,000$0$0","$775,000$775,000$775,000$775,000$0$0",UFA,,,
utah_hockey_club,"Barron, Travis",1 UFA,,LW,NHL,Signed,25,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
utah_hockey_club,"Duda, Artem",3 RFA,ELC,LD,Minor,Trade,20,,"$950,000$950,000$950,000$855,000$95,000$0","$950,000$950,000$950,000$855,000$95,000$0","$950,000$950,000$950,000$855,000$95,000$0",RFA,,
utah_hockey_club,"Lamoureux, Maveric",3 RFA,ELC,RD,Junior,Draft,20,,"$886,667$886,667$950,000$855,000$95,000$0","$886,667$886,667$855,000$855,000$0$0","$886,667$886,667$855,000$855,000$0$0",RFA,,
utah_hockey_club,"Szuber, Maksymilian",2 RFA,ELC,LD,Minor,Draft,21,,"$859,167$859,167$860,000$775,000$85,000$0","$859,167$859,167$860,000$775,000$85,000$0",RFA,,,
utah_hockey_club,"Onyebuchi, Montana",1 RFA,ELC,RD,Minor,Signed,24,,"$825,000$825,000$825,000$775,000$50,000$0",RFA,,,,
utah_hockey_club,"Kolyachonok, Vladislav",2 RFA,,LD/RD,Minor,Trade,23,,"$775,000$775,000$775,000$775,000$0$0","$775,000$775,000$775,000$775,000$0$0",RFA,,,
utah_hockey_club,"Connauton, Kevin",2 UFA,,LD/RD,Minor,Signed,34,,"$775,000$775,000$775,000$775,000$0$0","$775,000$775,000$775,000$775,000$0$0",UFA,,,
utah_hockey_club,"Koch, Patrik",1 UFA,,D,Minor,Signed,27,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
utah_hockey_club,"Soderstrom, Victor",-,,RD,Minor,Draft,23,,RFA,,,,,
utah_hockey_club,"Thornton, Anson",2 RFA,ELC,G,Minor,Signed,21,,"$795,556$795,556$775,000$775,000$0$0","$795,556$795,556$775,000$775,000$0$0",RFA,,,
utah_hockey_club,"Villalta, Matt",2 UFA,,G,Minor,Signed,25,,"$775,000$775,000$775,000$775,000$0$0","$775,000$775,000$775,000$775,000$0$0",UFA,,,
utah_hockey_club,"Stauber, Jaxson",1 UFA,,G,NHL,Signed,25,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
boston_bruins,"Pastrnak, David""A""",7 UFA,NMC,RW,NHL,Draft,28,,"$11,250,000$11,250,000$13,000,000$8,500,000$4,500,000$0$0","$11,250,000$11,250,000$12,500,000$8,500,000$4,000,000$0$0","$11,250,000$11,250,000$11,250,000$8,250,000$3,000,000$0$0","$11,250,000$11,250,000$11,250,000$8,250,000$3,000,000$0$0","$11,250,000$11,250,000$10,500,000$7,500,000$3,000,000$0$0","$11,250,000$11,250,000$9,500,000$7,000,000$2,500,000$0$0UFA at the end of 2030-31"
boston_bruins,"Lindholm, Elias",7 UFA,,"C, RW",NHL,Signed,29,,"$7,750,000$7,750,000$7,750,000$7,750,000$0$0","$7,750,000$7,750,000$7,750,000$7,750,000$0$0","$7,750,000$7,750,000$7,750,000$7,750,000$0$0","$7,750,000$7,750,000$7,750,000$7,750,000$0$0","$7,750,000$7,750,000$7,750,000$7,750,000$0$0","$7,750,000$7,750,000$7,750,000$7,750,000$0$0UFA at the end of 2030-31"
boston_bruins,"Marchand, Brad""C""",1 UFA,M-NTC,LW,NHL,Draft,36,,"$6,125,000$6,125,000$4,000,000$1,000,000$3,000,000$0$0",UFA,,,,
boston_bruins,"Coyle, Charlie",2 UFA,"M-NTC, NMC","C, RW",NHL,Trade,32,,"$5,250,000$5,250,000$4,500,000$4,500,000$0$0$0","$5,250,000$5,250,000$4,500,000$4,500,000$0$0$0",UFA,,,
boston_bruins,"Zacha, Pavel",3 UFA,M-NTC,"C, LW",NHL,Trade,27,,"$4,750,000$4,750,000$4,750,000$3,750,000$1,000,000$0$0","$4,750,000$4,750,000$4,750,000$3,750,000$1,000,000$0$0","$4,750,000$4,750,000$3,750,000$3,750,000$0$0$0",UFA,,
boston_bruins,"Frederic, Trent",1 UFA,,"LW, RW",NHL,Draft,26,,"$2,300,000$2,300,000$2,300,000$2,300,000$0$0",UFA,,,,
boston_bruins,"Geekie, Morgan",1 RFA,,"C, RW",NHL,Signed,25,,"$2,000,000$2,000,000$2,000,000$2,000,000$0$0",RFA,,,,
boston_bruins,"Jones, Max",2 UFA,,"LW, RW",NHL,Signed,26,,"$1,000,000$1,000,000$1,000,000$1,000,000$0$0","$1,000,000$1,000,000$1,000,000$1,000,000$0$0",UFA,,,
boston_bruins,"Beecher, John",1 RFA,ELC,C,NHL,Draft,23,,"$925,000$925,000$925,000$832,500$92,500$0",RFA,,,,
boston_bruins,"Kastelic, Mark",1 RFA,,"C, RW",NHL,Trade,25,,"$835,000$835,000$870,000$870,000$0$0",RFA,,,,
boston_bruins,"Brown, Patrick",1 UFA,,"C, RW",NHL,Signed,32,,"$800,000$800,000$800,000$800,000$0$0",UFA,,,,
boston_bruins,"Brazeau, Justin",1 UFA,,RW,NHL,Signed,26,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
boston_bruins,"Lettieri, Vinni",1 UFA,,"C, RW",NHL,Trade,29,,"$775,000$775,000$775,000$775,000$0$0",UFA,,,,
