PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
1. Auston Matthews,TOR,26,C,Left,81,69,38,107,1.32,31,369,0.19,20:57,-,-,-,-,-,NMC,UFA,"$13,250,000","$16,700,000"
2. Nathan MacKinnon,COL,28,C,Right,82,51,89,140,1.71,35,405,0.13,22:48,-,-,-,-,-,NMC,UFA,"$12,600,000","$16,500,000"
3. Connor McDavid,EDM,27,C,Left,76,32,100,132,1.74,35,263,0.12,21:21,-,-,-,-,-,NMC,UFA,"$12,500,000","$10,000,000"
4. Artemi Panarin,NYR,32,LW,Right,82,49,71,120,1.46,18,302,0.16,20:07,-,-,-,-,-,NMC,UFA,"$11,642,857","$10,000,000"
5. Elias Pettersson,VAN,25,"C, LW",Left,82,34,55,89,1.09,20,207,0.16,19:39,-,-,-,-,-,,UFA,"$11,600,000","$14,500,000"
6. William Nylander,TOR,28,RW,Right,82,40,58,98,1.20,1,316,0.13,19:54,-,-,-,-,-,NMC,UFA,"$11,500,000","$13,500,000"
7. Erik Karlsson,PIT,34,RD,Right,82,11,45,56,0.68,4,213,0.05,24:16,-,-,-,-,-,NMC,UFA,"$11,500,000","$11,000,000"
8. David Pastrnak,BOS,28,RW,Right,82,47,63,110,1.34,21,382,0.12,19:55,-,-,-,-,-,NMC,UFA,"$11,250,000","$13,000,000"
9. Drew Doughty,LAK,34,RD,Right,82,15,35,50,0.61,15,135,0.11,25:47,-,-,-,-,-,M-NTC,UFA,"$11,000,000","$11,000,000"
10. John Tavares,TOR,33,"C, LW",Left,80,29,36,65,0.81,2,279,0.10,17:51,-,-,-,-,-,NMC,UFA,"$11,000,000","$7,950,000"
11. Rasmus Dahlin,BUF,24,LD/RD,Left,81,20,39,59,0.73,-3,235,0.09,25:25,-,-,-,-,-,,UFA,"$11,000,000","$13,000,000"
12. Mitchell Marner,TOR,27,RW,Right,69,26,59,85,1.23,21,158,0.16,21:16,-,-,-,-,-,NMC,UFA,"$10,903,000","$8,025,000"
13. Jonathan Huberdeau,CGY,31,"LW, RW",Left,81,12,40,52,0.64,-29,143,0.08,17:25,-,-,-,-,-,NMC,UFA,"$10,500,000","$10,500,000"
14. Carey Price,MTL,36,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,NMC,UFA,"$10,500,000","$7,500,000"
15. Jack Eichel,VGK,27,C,Right,63,31,37,68,1.08,4,278,0.11,20:31,-,-,-,-,-,NMC,UFA,"$10,000,000","$10,000,000"
16. Sergei Bobrovsky,FLA,35,G,Left,58,-,-,-,-,-,-,-,-,36,17,6,2.37,.915,"M-NTC, NMC",UFA,"$10,000,000","$6,500,000"
17. Aleksander Barkov,FLA,28,C,Left,73,23,57,80,1.10,33,193,0.12,19:38,-,-,-,-,-,NMC,UFA,"$10,000,000","$12,000,000"
18. Tyler Seguin,DAL,32,"C, RW",Right,68,25,27,52,0.76,10,154,0.16,16:32,-,-,-,-,-,NMC,UFA,"$9,850,000","$8,000,000"
19. Sebastian Aho,CAR,26,C,Left,78,36,53,89,1.14,34,216,0.17,19:37,-,-,-,-,-,NMC,UFA,"$9,750,000","$12,000,000"
20. Johnny Gaudreau,CBJ,30,LW,Left,81,12,48,60,0.74,-27,160,0.08,18:48,-,-,-,-,-,NMC,UFA,"$9,750,000","$9,750,000"
21. Zachary Werenski,CBJ,26,LD,Left,70,11,46,57,0.81,0,202,0.05,24:27,-,-,-,-,-,NMC,UFA,"$9,583,333","$11,500,000"
22. Alex Ovechkin,WSH,38,LW,Right,79,31,34,65,0.82,-22,272,0.11,19:13,-,-,-,-,-,"M-NTC, NMC",UFA,"$9,500,000","$11,000,000"
23. Mark Stone,VGK,32,RW,Right,56,16,37,53,0.95,1,117,0.14,19:24,-,-,-,-,-,NMC,UFA,"$9,500,000","$11,000,000"
24. Andrei Vasilevskiy,TBL,29,G,Left,52,-,-,-,-,-,-,-,-,30,20,2,2.90,.900,NMC,UFA,"$9,500,000","$10,000,000"
25. Jamie Benn,DAL,34,"LW, C",Left,82,21,39,60,0.73,8,164,0.13,15:07,-,-,-,-,-,NMC,UFA,"$9,500,000","$6,500,000"
26. Adam Fox,NYR,26,RD,Right,72,17,56,73,1.01,21,137,0.12,23:26,-,-,-,-,-,,UFA,"$9,500,000","$12,000,000"
27. Nikita Kucherov,TBL,31,RW,Left,81,44,100,144,1.78,8,306,0.14,21:40,-,-,-,-,-,M-NTC,UFA,"$9,500,000","$9,000,000"
28. Seth Jones,CHI,29,RD,Right,67,8,23,31,0.46,-15,172,0.05,25:29,-,-,-,-,-,NMC,UFA,"$9,500,000","$12,500,000"
29. Brayden Point,TBL,28,"C, RW",Right,81,46,44,90,1.11,-16,227,0.20,20:02,-,-,-,-,-,NMC,UFA,"$9,500,000","$12,000,000"
30. Charlie McAvoy,BOS,26,RD,Right,74,12,35,47,0.64,4,133,0.09,24:50,-,-,-,-,-,NMC,UFA,"$9,500,000","$11,500,000"
31. Matthew Tkachuk,FLA,26,RW,Left,80,26,62,88,1.10,19,280,0.09,18:38,-,-,-,-,-,NMC,UFA,"$9,500,000","$11,250,000"
32. Mikko Rantanen,COL,27,"RW, C",Left,80,42,62,104,1.30,19,271,0.16,22:54,-,-,-,-,-,M-NTC,UFA,"$9,250,000","$6,000,000"
